Position [um],Voltage [V]
26.397036,-0.000008
26.431134,-0.000008
26.465231,-0.000000
26.499329,0.000006
26.533427,0.000017
26.567524,0.000018
26.601622,0.000008
26.635720,-0.000002
26.669817,-0.000009
26.703915,-0.000012
26.738013,-0.000006
26.772110,-0.000005
26.806208,-0.000006
26.840306,0.000000
26.874403,0.000001
26.908501,0.000001
26.942599,0.000006
26.976696,0.000005
27.010794,0.000011
27.044892,0.000009
27.078989,-0.000007
27.113087,-0.000000
27.147185,0.000000
27.181282,-0.000009
27.215380,0.000007
27.249478,0.000007
27.283575,-0.000004
27.317673,0.000006
27.351771,-0.000010
27.385868,-0.000013
27.419966,0.000003
27.454064,0.000003
27.488161,0.000001
27.522259,0.000005
27.556357,-0.000005
27.590454,-0.000007
27.624552,-0.000005
27.658650,-0.000015
27.692747,-0.000003
27.726845,-0.000007
27.760943,-0.000000
27.795040,-0.000009
27.829138,0.000000
27.863236,-0.000004
27.897333,0.000016
27.931431,0.000004
27.965529,-0.000003
27.999626,0.000005
28.033724,-0.000007
28.067822,-0.000018
28.101919,-0.000024
28.136017,-0.000026
28.170115,-0.000031
28.204212,-0.000026
28.238310,-0.000004
28.272408,-0.000010
28.306505,0.000000
28.340603,0.000002
28.374701,-0.000004
28.408798,-0.000006
28.442896,-0.000006
28.476994,-0.000002
28.511091,-0.000007
28.545189,-0.000012
28.579287,-0.000001
28.613384,-0.000011
28.647482,-0.000013
28.681580,-0.000017
28.715677,-0.000017
28.749775,-0.000013
28.783873,-0.000007
28.817970,0.000000
28.852068,0.000005
28.886166,0.000019
28.920263,0.000018
28.954361,0.000018
28.988459,0.000016
29.022556,-0.000004
29.056654,-0.000005
29.090752,-0.000005
29.124849,-0.000002
29.158947,0.000010
29.193045,0.000017
29.227142,0.000030
29.261240,0.000028
29.295338,0.000014
29.329435,0.000011
29.363533,0.000009
29.397631,0.000012
29.431728,0.000007
29.465826,0.000004
29.499924,0.000006
29.534021,0.000003
29.568119,0.000007
29.602217,0.000002
29.636314,-0.000000
29.670412,0.000005
29.704510,-0.000001
29.738608,-0.000011
29.772705,-0.000006
29.806803,-0.000017
29.840901,-0.000028
29.874998,-0.000023
29.909096,-0.000015
29.943194,-0.000011
29.977291,-0.000018
30.011389,-0.000028
30.045487,-0.000023
30.079584,-0.000008
30.113682,-0.000004
30.147780,-0.000007
30.181877,-0.000002
30.215975,0.000002
30.250073,-0.000001
30.284170,-0.000011
30.318268,-0.000010
30.352366,-0.000009
30.386463,-0.000021
30.420561,-0.000013
30.454659,-0.000016
